0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
106/09/25,"14,413,817","189,326,950",13.15,13.25,13.10,13.10,-0.05,"2,616",,,,,,,,,,,,,,,,,,,,,,,,
106/09/26,"8,233,346","108,046,108",13.10,13.20,13.05,13.10, 0.00,"1,572",,,,,,,,,,,,,,,,,,,,,,,,
106/09/27,"5,728,769","75,218,984",13.10,13.20,13.10,13.10, 0.00,"1,268",,,,,,,,,,,,,,,,,,,,,,,,
106/09/28,"8,479,226","111,051,338",13.15,13.15,13.05,13.10, 0.00,"2,169",,,,,,,,,,,,,,,,,,,,,,,,
106/09/29,"8,712,696","113,845,250",13.10,13.15,13.00,13.05,-0.05,"1,375",,,,,,,,,,,,,,,,,,,,,,,,
106/09/30,"2,989,137","39,043,681",13.10,13.10,13.05,13.05, 0.00,697,,,,,,,,,,,,,,,,,,,,,,,,
106/10/02,"5,745,449","75,219,648",13.05,13.15,13.05,13.05, 0.00,"1,215",,,,,,,,,,,,,,,,,,,,,,,,
106/10/03,"8,101,500","106,127,136",13.10,13.15,13.05,13.10,+0.05,"1,672",,,,,,,,,,,,,,,,,,,,,,,,
106/10/05,"6,191,648","81,329,737",13.10,13.20,13.10,13.15,+0.05,"1,925",,,,,,,,,,,,,,,,,,,,,,,,
106/10/06,"6,769,281","89,022,211",13.15,13.20,13.10,13.20,+0.05,"1,817",,,,,,,,,,,,,,,,,,,,,,,,
106/10/11,"16,473,522","218,068,144",13.25,13.30,13.20,13.30,+0.10,"3,799",,,,,,,,,,,,,,,,,,,,,,,,
106/10/12,"34,731,895","464,057,091",13.30,13.45,13.20,13.40,+0.10,"4,024",,,,,,,,,,,,,,,,,,,,,,,,
106/10/13,"9,978,834","133,644,088",13.35,13.45,13.35,13.40, 0.00,"2,255",,,,,,,,,,,,,,,,,,,,,,,,
106/10/16,"16,549,334","221,586,210",13.40,13.45,13.35,13.45,+0.05,"2,510",,,,,,,,,,,,,,,,,,,,,,,,
106/10/17,"5,833,175","78,337,020",13.40,13.45,13.40,13.45, 0.00,"1,993",,,,,,,,,,,,,,,,,,,,,,,,
106/10/18,"18,407,643","245,708,984",13.45,13.45,13.30,13.35,-0.10,"5,659",,,,,,,,,,,,,,,,,,,,,,,,
106/10/19,"6,255,471","83,357,465",13.35,13.40,13.30,13.30,-0.05,"1,888",,,,,,,,,,,,,,,,,,,,,,,,
106/10/20,"12,884,946","171,269,954",13.30,13.35,13.25,13.30, 0.00,"1,478",,,,,,,,,,,,,,,,,,,,,,,,
106/10/23,"5,064,483","67,525,597",13.40,13.40,13.30,13.35,+0.05,"1,101",,,,,,,,,,,,,,,,,,,,,,,,
